la computadora/el ordenador,computer
el portátil/laptop,laptop
la pantalla,monitor/screen
el ratón,mouse
el teclado,keyboard
la memoria,memory
el disco duro,hard drive
el micrófono,microphone
los altavoces,speakers
el cable,cable
el archivo,file
los audifonos/auriculares,headphones
la tableta,tablet
la memoria USB,USB memory stick
la impresora,printer
el Internet,Internet
el wifi,wifi
la conexión al Internet,Internet connection
el acceso al Internet,Internet access
estar en línea/conectado,to be connected to the internet/online
la velocidad,speed
la banda ancha,broadband
la red,network
el navegador,web browser
la contraseña/clave,password
el correo electrónico,email
la dirección,address (website or email)
la arroba,"@" symbol
el punto,"dot" in Internet addresses
la página web,web page
las redes sociales,social media
el enlace,link
No hay cobertura.,I don't have service here.
Turn on,encender
Turn off,apagar
Upload,subir
Save,guardar
Erase, delete,borrar
Click,hacer clic, cliquear, presionar, pulsar
Download,bajar, descargar
Search,buscar
Google (as a verb),googlear
Reboot,reiniciar
Crash,caer el sistema
Print,imprimir
Type,teclear
Connect,conectar
Install,instalar
Access,acceder
Log in,iniciar sesión
Upgrade, update,actualizar
Browse,navegar
Back up,hacer una copia de seguridad
Cut and paste,cortar y pegar
Email,enviar correo electrónico, enviar por correo electrónico, emailear
"At" symbol (@),la arroba
Button (as on a mouse),el botón
Cursor,el cursor
Key (of a keyboard),la tecla
Keyboard,el teclado
Mouse,el ratón, el mouse
Slash (/),la barra, la barra oblicua
Backslash (\),la barra invertida, la barra inversa, la contrabarra
Computer,la computadora
Tablet,la tableta
Laptop,el plegable, la computadora portátil, el ordenador portátil
Printer,la impresora
Hard Drive,el disco duro
Headphones,los audífonos
Microphone,el micrófono
Screen,la pantalla
Camera,la cámara
Speakers,las bocinas
RAM,la memoria RAM
Flash memory,la memoria flash
Battery,la batería
Hard drive,el disco duro
USB port,puerto USB
Drive,el driver
Server,el servidor
Cable,el cable
Smartphone,el teléfono inteligente, el smartphone
Operating system,el sistema operativo, el código operacional
Processor,el procesador
Router,el router
Software,el software
Password,la contraseña
App,la aplicación
Database,la base de datos
Bug,el fallo, el error, el bug
Virus,el virus
Toolbar,la barra de herramientas
Terms and conditions,los términos y condiciones
Desktop,el escritorio, la pantalla
Screensaver,el salvapantallas
Spreadsheet,la hoja de cálculo
Data,los datos
Digital,digital
File,el archivo
Folder,la carpeta
Link,el enlace, la conexión, el vínculo
Internet,el internet
Worldwide Web,la World Wide Web (WWW), red informática mundial
Network,la red
Search engine,el buscador, el servidor de búsqueda
Data,la data
Email,el correo electrónico
Podcast,el podcast
Wi-fi,el wifi
Blog,el blog
Digital,digital
Tab (in a browser),la pestaña
Bandwidth,la amplitud de banda
Bookmark,el favorito, el marcador, el marcapáginas
Cookie (used in browsers),la cookie
Cache,el caché, la memoria cache
Browser history,el historial de navegador
Address (email or website),la dirección
Frequently asked questions (FAQ),las preguntas más frecuentes/comunes, las FAQ
Home page,la página inicial, la página principal, la portada
Privacy policy,la política de privacidad, la póliza de privacidad
Domain,el dominio
Dot com,punto com
Keyword,la palabra clave
Spam,el correo basura, el spam
Video,el video
Video call,la videollamada
Cloud,la nube
Social media,las redes sociales
Username,el nombre de usuario
Tag,la etiqueta
Hashtag,el hashtag
Profile,el perfil
Comment,el comentario
Message,el mensaje
Privacy,la privacidad
Post,la publicación
Notification,la notificación
Page,la página
Advertisement,el anuncio
Follower,el seguidor
Account,la cuenta